id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2010;SEX_MLE;2.69
;;2003;SEX_MLE;23.96
;;2010;SEX_FMLE;0.56
;;2005;SEX_MLE;16.6
;;2018;SEX_MLE;20.05
;;2013;SEX_MLE;11.88
;;2012;SEX_FMLE;1.05
;;2008;SEX_MLE;12.85
;;2004;SEX_BTSX;13.3
;;2009;SEX_MLE;18.35
;;2020;SEX_BTSX;11.68
;;2008;SEX_MLE;18.27
;;2015;SEX_MLE;17.69
;;2012;SEX_MLE;1.8
;;2007;SEX_FMLE;1.07
;;2012;SEX_MLE;52.47
;;2008;SEX_MLE;16.31
;;2015;SEX_BTSX;9.08
;;2013;SEX_MLE;26.43
;;2015;SEX_FMLE;3.44
;;2016;SEX_MLE;14.11
;;2020;SEX_FMLE;9.28
;;2018;SEX_FMLE;1.06
;;2000;SEX_FMLE;4.79
;;2015;SEX_FMLE;4.97
;;2018;SEX_BTSX;1.85
;;2003;SEX_BTSX;9.87
;;2016;SEX_MLE;11.4
;;2014;SEX_MLE;7.53
;;2014;SEX_FMLE;6.0
;;2020;SEX_MLE;6.47
;;2005;SEX_BTSX;37.32
;;2002;SEX_BTSX;4.93
;;2007;SEX_MLE;18.41
;;2005;SEX_MLE;5.6
;;2002;SEX_MLE;4.18
;;2000;SEX_FMLE;4.32
;;2011;SEX_MLE;6.49
;;2002;SEX_FMLE;8.09
;;2005;SEX_MLE;4.62
;;2006;SEX_BTSX;34.29
;;2020;SEX_FMLE;5.27
;;2011;SEX_BTSX;2.69
;;2011;SEX_MLE;17.24
;;2001;SEX_FMLE;0.68
;;2017;SEX_FMLE;5.44
;;2004;SEX_BTSX;2.26
;;2015;SEX_MLE;50.66
;;2015;SEX_MLE;11.89
;;2019;SEX_FMLE;5.74
;;2009;SEX_FMLE;4.37
;;2017;SEX_FMLE;2.82
;;2008;SEX_MLE;13.83
;;2017;SEX_MLE;16.98
;;2011;SEX_MLE;34.87
;;2016;SEX_BTSX;11.3
;;2014;SEX_FMLE;6.27
;;2020;SEX_MLE;31.99
;;2011;SEX_BTSX;19.03
;;2008;SEX_MLE;7.0
;;2015;SEX_MLE;38.0
;;2011;SEX_MLE;26.69
;;2002;SEX_BTSX;11.02
;;2014;SEX_FMLE;1.7
;;2008;SEX_BTSX;14.79
;;2003;SEX_BTSX;11.63
;;2001;SEX_MLE;37.62
;;2017;SEX_FMLE;3.5
;;2012;SEX_MLE;5.56
;;2018;SEX_MLE;35.96
;;2021;SEX_FMLE;0.66
;;2018;SEX_BTSX;12.28
;;2020;SEX_MLE;23.66
;;2018;SEX_FMLE;1.06
;;2002;SEX_MLE;5.81
;;2001;SEX_BTSX;14.37
;;2004;SEX_MLE;8.03
;;2021;SEX_FMLE;8.79
;;2006;SEX_BTSX;22.13
;;2006;SEX_FMLE;1.55
;;2018;SEX_MLE;8.01
;;2011;SEX_FMLE;7.04
;;2002;SEX_FMLE;8.59
;;2005;SEX_MLE;14.09
;;2011;SEX_FMLE;1.81
;;2016;SEX_BTSX;4.11
;;2018;SEX_FMLE;1.96
;;2003;SEX_FMLE;5.14
;;2017;SEX_FMLE;1.11
;;2004;SEX_BTSX;20.0
;;2013;SEX_MLE;14.57
;;2007;SEX_FMLE;0.33
;;2011;SEX_MLE;50.35
;;2011;SEX_FMLE;4.94
;;2002;SEX_BTSX;11.68
;;2010;SEX_MLE;29.26
;;2012;SEX_MLE;22.56
;;2020;SEX_FMLE;4.9
;;2016;SEX_FMLE;3.73
;;2009;SEX_BTSX;8.82
;;2017;SEX_BTSX;7.62
;;2013;SEX_MLE;1.22
;;2001;SEX_FMLE;6.87
;;2009;SEX_FMLE;0.61
;;2007;SEX_FMLE;0.72
;;2016;SEX_FMLE;0.51
;;2000;SEX_FMLE;2.57
;;2017;SEX_FMLE;4.6
;;2009;SEX_MLE;18.87
;;2016;SEX_BTSX;8.35
;;2015;SEX_BTSX;12.52
;;2018;SEX_MLE;23.44
